,price,brand,model,year,title_status,mileage,color,vin,lot,state,country,condition
105,7070,ford,mpv,2017,clean vehicle,45191,white,  1fm5k7d82hgb39148,167656361,texas, usa,2 days left
106,8700,ford,focus,2018,clean vehicle,21405,white,  1fadp3k23jl219764,167755494,south carolina, usa,21 hours left
107,18003,chevrolet,malibu,2017,clean vehicle,19117,no_color,  1g1zh5sx7hf141060,167765112,michigan, usa,17 hours left
108,8530,ford,door,2017,clean vehicle,42104,black,  1fm5k7f80hga03159,167656362,texas, usa,2 days left
109,23100,dodge,durango,2018,clean vehicle,49496,white,  1c4rdjdg2jc329601,167755496,south carolina, usa,21 hours left
110,24500,cadillac,door,2017,clean vehicle,32418,white,  1gykndrs1hz125239,167765114,michigan, usa,2 days left
111,7000,ford,mpv,2017,clean vehicle,29882,white,  1fm5k7d84hgc31359,167656363,texas, usa,2 days left
112,17000,ford,escape,2018,clean vehicle,34819,gold,  1fmcu9hd6juc54783,167755501,south carolina, usa,21 hours left
113,34002,chevrolet,1500,2017,clean vehicle,31923,white,  3gcuktej3hg475034,167765115,michigan, usa,2 days left
114,6980,ford,mpv,2017,clean vehicle,29168,gray,  1fm5k7d8xhga68751,167656364,texas, usa,2 days left
115,25000,dodge,charger,2018,clean vehicle,28307,silver,  2c3cdxjg6jh224431,167755814,michigan, usa,21 hours left
116,20802,chevrolet,colorado,2017,clean vehicle,33791,turquoise,  1gcgtben3h1180134,167765116,michigan, usa,2 days left
117,9200,ford,door,2017,clean vehicle,21770,black,  1ftew1ep8hfa10123,167656365,texas, usa,2 days left
118,26500,chrysler,pacifica,2017,clean vehicle,18375,gray,  2c4rc1eg2hr669530,167755839,michigan, usa,21 hours left
119,24802,chevrolet,colorado,2017,clean vehicle,14158,gray,  1gcgtcen9h1202076,167765119,michigan, usa,2 days left
120,7070,ford,mpv,2017,clean vehicle,30318,black,  1fm5k7d82hgb21314,167656366,texas, usa,2 days left
121,28500,ford,door,2017,clean vehicle,48086,red,  1ftew1ep2hkd15978,167755890,south carolina, usa,21 hours left
122,47500,cadillac,door,2017,clean vehicle,26562,black,  1gys4ckj7hr359884,167765120,michigan, usa,2 days left
123,23500,ford,explorer,2017,clean vehicle,57611,black,  1fm5k8f80hgc67231,167755891,south carolina, usa,21 hours left
124,23505,chevrolet,colorado,2017,clean vehicle,47357,black,  1gcptce16h1176629,167765121,michigan, usa,2 hours left
125,10940,ford,door,2017,clean vehicle,84916,white,  1ftew1ef1hke25038,167656368,texas, usa,2 days left
126,32100,ford,f-150,2017,clean vehicle,24521,gray,  1ftfw1eg1hfb38806,167755893,south carolina, usa,21 hours left
127,53000,chevrolet,3500,2018,clean vehicle,16105,black,  1gc4k1ey0jf149152,167765123,washington, usa,21 hours left
128,6830,ford,mpv,2017,clean vehicle,35888,gold,  1fm5k7dh9hgb05630,167656369,texas, usa,2 days left
129,11900,dodge,caravan,2017,clean vehicle,59537,gray,  2c4rdgcg3hr864989,167755906,south carolina, usa,21 hours left
130,26414,chevrolet,1500,2017,clean vehicle,55222,black,  3gcukrec3hg429109,167765140,michigan, usa,20 hours left
131,4160,dodge,mpv,2018,clean vehicle,32870,gray,  3c4pdcab8jt166940,167656464,florida, usa,17 hours left
132,19405,chevrolet,door,2017,clean vehicle,39687,silver,  1gnkvgkd0hj145877,167765141,michigan, usa,3 hours left
133,5690,dodge,mpv,2018,clean vehicle,47085,silver,  2c4rdgeg8jr337145,167656466,florida, usa,17 hours left
134,25900,chrysler,van,2017,clean vehicle,32224,silver,  2c4rc1gg4hr635019,167756044,south carolina, usa,21 hours left
135,24005,chevrolet,1500,2017,clean vehicle,51293,beige,  1gcukrecxhf153500,167765146,michigan, usa,20 hours left
136,5090,dodge,mpv,2018,clean vehicle,42989,gray,  2c4rdgcg2jr218218,167656467,florida, usa,17 hours left
137,19500,chrysler,300,2017,clean vehicle,31311,gray,  2c3ccabg5hh538726,167756093,arizona, usa,34 minutes
138,32012,chevrolet,1500,2017,clean vehicle,46091,white,  3gcuksej6hg353147,167765148,michigan, usa,2 days left
139,6800,dodge,dart,2016,clean vehicle,49033,black,  1c3cdffh0gd823262,167756148,michigan, usa,2 days left
140,4260,dodge,mpv,2018,clean vehicle,33957,gray,  3c4pdcabxjt311007,167656471,florida, usa,16 hours left
141,0,dodge,van,2008,salvage insurance,177948,orange,  2d8hn44h88r669549,167756157,utah, usa,2 days left
142,31802,chevrolet,2500,2017,clean vehicle,19845,silver,  1gc1kveg3hf189737,167765152,michigan, usa,20 hours left
143,7210,dodge,doors,2018,clean vehicle,38910,black,  2c3cdxct1jh233225,167656472,florida, usa,16 hours left
144,0,dodge,door,2014,salvage insurance,123660,silver,  1c3cdzab0en111068,167756167,utah, usa,2 days left
145,28402,chevrolet,1500,2017,clean vehicle,31234,black,  3gcukrec4hg196549,167765157,michigan, usa,2 days left
146,6800,dodge,doors,2018,clean vehicle,36767,gray,  2c3cdxhgxjh125388,167656473,florida, usa,16 hours left
147,33300,cadillac,esv,2015,clean vehicle,57932,gray,  1gys4tkj0fr538846,167765183,washington, usa,21 hours left
148,10780,dodge,mpv,2018,clean vehicle,19420,white,  1c4sdjct1jc174166,167656474,florida, usa,16 hours left
149,6700,ford,cutaway,2014,clean vehicle,204155,beige,  1fdfe4fs7eda23699,167756194,pennsylvania, usa,3 days left
150,20000,chevrolet,1500,2016,clean vehicle,93493,white,  3gcuknec9gg342967,167765203,washington, usa,21 hours left
151,6440,chrysler,doors,2018,clean vehicle,20942,gray,  2c3ccakg8jh168457,167656475,florida, usa,17 hours left
152,19900,ford,door,2016,clean vehicle,86826,gray,  1fm5k8f8xggc51519,167756205,south carolina, usa,21 hours left
153,37000,chevrolet,door,2015,clean vehicle,45787,white,  1gc1kwegxff145382,167765217,washington, usa,21 hours left
154,4040,dodge,mpv,2018,clean vehicle,50765,red,  3c4pdcab6jt273002,167656476,florida, usa,16 hours left
155,22300,ford,explorer,2016,clean vehicle,62774,black,  1fm5k8fh9ggc37790,167756208,south carolina, usa,21 hours left
156,31200,chevrolet,door,2011,clean vehicle,76326,gray,  1gc1kxc86bf208814,167765320,washington, usa,21 hours left
157,4290,dodge,mpv,2018,clean vehicle,39029,white,  3c4pdcab0jt474412,167656477,florida, usa,16 hours left
158,22800,ford,el,2016,clean vehicle,72885,silver,  1fmjk1ht3gef52975,167756210,south carolina, usa,21 hours left
159,19002,cadillac,door,2016,clean vehicle,46467,white,  1g6ah1rx1g0193887,167765761,michigan, usa,20 hours left
160,4160,dodge,mpv,2018,clean vehicle,6743,gray,  3c4pdcab8jt384019,167656478,florida, usa,16 hours left
161,18500,ford,edge,2016,clean vehicle,33514,white,  2fmpk3j98gbb59781,167756214,south carolina, usa,21 hours left
162,39000,bmw,series,2016,clean vehicle,39917,blue,  wba7f2c57gg421020,167765766,michigan, usa,2 days left
163,6060,dodge,doors,2018,clean vehicle,32504,black,  3c4pddgg1jt523058,167656479,florida, usa,18 hours left
164,28800,ford,door,2016,clean vehicle,77638,white,  1ftew1ep1gfc64335,167756219,south carolina, usa,21 hours left
165,40000,bmw,series,2016,clean vehicle,31727,gray,  wba7f2c55gg415264,167765767,michigan, usa,2 days left
166,6140,dodge,doors,2018,clean vehicle,52966,silver,  2c3cdxbg0jh187083,167656480,florida, usa,16 hours left
167,21000,ford,flex,2016,clean vehicle,24157,gray,  2fmhk6c89gba05297,167756222,south carolina, usa,21 hours left
168,20105,buick,door,2016,clean vehicle,51393,beige,  5gakvbkd8gj196085,167765770,michigan, usa,20 hours left
169,6760,dodge,doors,2018,clean vehicle,35461,white,  2c3cdzag7jh321665,167656483,florida, usa,16 hours left
170,25800,ford,door,2014,clean vehicle,47055,brown,  1ft7x2b62eea29551,167756277,pennsylvania, usa,1 days left
171,39000,bmw,series,2016,clean vehicle,33110,black,  wba7f2c57gg419607,167765776,michigan, usa,2 days left
172,5470,dodge,mpv,2018,clean vehicle,39721,black,  3c4pdcgg9jt216280,167656495,florida, usa,16 hours left
173,14600,ford,door,2014,clean vehicle,75785,black,  1fm5k8f81egb23411,167756284,pennsylvania, usa,21 hours left
174,24502,chevrolet,1500,2016,clean vehicle,33624,black,  3gcuknec6gg150809,167765812,michigan, usa,20 hours left
175,15110,ford,door,2017,clean vehicle,42289,white,  1ft7w2bt7hec67263,167656516,texas, usa,2 days left
176,7900,ford,door,2014,clean vehicle,79422,white,  1fmcu0g9xeud52262,167756290,new york, usa,21 hours left
